name,price,date,overview,image
Tour Nga 10N9Đ: HCM - Khám Phá Moscow - Saint Petersburg - Vành Đai Vàng,69.900.000VND,03-03-2025,"- Tham quan Quảng trường Đỏ và Điện Kremlin - Biểu tượng lịch sử và văn hóa của Moscow, nơi có những kiến trúc ấn tượng. - Khám phá thành phố Plyos - Chiêm ngưỡng phong cảnh thơ mộng đã truyền cảm hứng cho họa sĩ nổi tiếng Isaac Levitan. - Tham quan bảo tàng Hermitage ở Saint Petersburg - Một trong những bảo tàng nghệ thuật lớn nhất thế giới. - Thưởng ngoạn cảnh sắc tại Cung điện Mùa Đông và Cung điện Mùa Hè - Hai điểm đến lộng lẫy tại Saint Petersburg. - Trải nghiệm Cung điện Alexander - một kiệt tác kiến trúc tráng lệ tại Làng Hoàng gia.",https://cdn2.ivivu.com/2024/09/13/16/dubai-marina-ivivu-158x100.jpg
Tour Châu Âu 10N9Đ: Đức - Áo - Liechtenstein - Thụy Sĩ - Pháp,60.990.000VND,26-05-2025,"- Làng cổ Hallstatt – được ví như là miền cổ tích, một trong những thị trấn trung cổ đẹp nhất tại Châu Âu. - Thủ đô Vienna - Áo: Thưởng thức nét văn hóa âm nhạc cổ điển và những công trình kiến trúc tráng lệ. - Liechtenstein thơ mộng: Khám phá quốc gia nhỏ bé với phong cảnh núi non và các lâu đài lịch sử tuyệt đẹp. - Đỉnh núi Titlis - Thụy Sĩ: Trải nghiệm cáp treo xoay 360 độ và chiêm ngưỡng tuyết trắng bao phủ quanh năm. - Tháp Eiffel - Pháp: Đón Tết giữa lòng Paris, khám phá biểu tượng vĩ đại của kinh đô ánh sáng.",https://cdn2.ivivu.com/2023/06/26/15/ivivu-fraumunster-church-158x100.jpg
Tour Bắc Âu 10N9Đ: HCM - Đan Mạch - Thụy Điển - Na Uy - Phần Lan,75.900.000VND,21-06-2025,"- Trải nghiệm du thuyền 5 sao: Đêm nghỉ sang trọng giữa biển khơi, tận hưởng tiện ích đẳng cấp. - Chiêm ngưỡng tượng Nàng Tiên Cá (Copenhagen): Biểu tượng huyền thoại của thủ đô Đan Mạch. - Tham quan Vasa Museum (Stockholm): Nơi trưng bày con tàu hoàng gia Vasa nguyên vẹn từ thế kỷ 17. - Ghé thăm Uspenski Cathedral (Helsinki): Nhà thờ Chính thống giáo lớn nhất Bắc Âu với kiến trúc ấn tượng. - Khám phá Nobel Peace Centre (Oslo): Trung tâm tôn vinh giải thưởng Nobel Hòa Bình và những lý tưởng cao cả.",https://cdn2.ivivu.com/2024/05/30/15/vasa-museum-thuy-dien-ivv-158x100.gif
Tour Châu Âu 11N10Đ: Đức - Hà Lan - Bỉ - Thuỵ Sỹ - Pháp,70.990.000VND,16-04-2025,- Khám phá làng Giethoorn – Venice của phương Bắc với vẻ đẹp cổ tích trên kênh đào thơ mộng. - Du thuyền sông Seine – Ngắm Paris hoa lệ từ dòng sông di sản thế giới UNESCO. - Núi tuyết Titlis – Chạm tay vào thiên đường tuyết trắng trên dãy Alps hùng vĩ. - Tháp Eiffel và Khải Hoàn Môn – Những biểu tượng bất hủ của kinh đô ánh sáng Paris. - Cối xay gió Hà Lan – Bước vào thế giới cổ tích tại làng Zaanse Schans đầy quyến rũ.,https://cdn2.ivivu.com/2016/08/25/17/ivivu-chau-auphapbi-halanduc-coeur2-158x100.jpg
Tour Châu Âu 9N8Đ: HCM - Đức - Luxembourg - Pháp - Bỉ - Hà Lan - Vườn Hoa Keukenhof,59.990.000VND,30-04-2025,"- Tham quan Nhà thờ Cologne, Roemerberg và Nhà thờ St. Paul mang dấu ấn lịch sử. - Lạc vào thiên đường hoa Keukenhof: Vườn hoa lớn nhất thế giới với hàng triệu bông tulip rực rỡ. - Du thuyền sông Seine & Paris hoa lệ: Ngắm Tháp Eiffel, khám phá Bảo tàng Louvre và dạo thuyền trên dòng sông lãng mạn. - Di sản châu Âu: Chiêm ngưỡng Grand Place, Bảo tàng Atomium, khám phá Luxembourg trái tim xanh của châu Âu. - Trải nghiệm Hà Lan: Thăm làng cối xay gió Zaanse Schans và mua sắm tại phố Die Zeil nhộn nhịp.",https://cdn2.ivivu.com/2022/05/09/11/ivivu-luxembourg-158x100.gif
Tour Bắc Âu 9N8Đ: HCM - Đan Mạch - Na Uy - Thụy Điển - Phần Lan,72.499.000VND,25-04-2025,"- Du thuyền Nyhavn, Copenhagen: Ngắm kênh đào thơ mộng, tượng Nàng Tiên Cá và kiến trúc cổ kính. - Phố cổ Gamla Stan, Stockholm: Khám phá vẻ đẹp trung cổ trên những con đường lát sỏi. - Pháo đài Akershus, Oslo: Tìm hiểu lịch sử Na Uy tại pháo đài cổ kính ven biển. - Du thuyền 4 sao Stockholm, Helsinki: Thư giãn với tiện nghi sang trọng và ngắm cảnh biển Bắc Âu. - Nhà thờ đá Temppeliaukio, Helsinki: Thưởng thức kiến trúc độc đáo và không gian yên bình trong lòng đá.",https://cdn2.ivivu.com/2023/04/28/11/ivivu-bac-au-bia-158x100.jpg
Tour Châu Âu 9N8Đ: Khám Phá Đức - Hà Lan - Bỉ - Luxembourg - Pháp,60.990.000VND,30-03-2025,"- Khám phá làng Giethoorn – Ngôi làng cổ tích với kênh đào thơ mộng, nơi giao thông bằng đường thủy. - Tham quan Nhà thờ Cologne – Kiến trúc Gothic vĩ đại, di sản thế giới UNESCO. - Du thuyền sông Seine – Ngắm nhìn những biểu tượng của Paris như Nhà thờ Đức Bà, cầu Alexander III. - Zaanse Schans & cối xay gió – Trải nghiệm văn hóa Hà Lan tại ngôi làng lịch sử. - Khám phá Montmartre – Chiêm ngưỡng nghệ thuật đường phố và Nhà thờ Thánh Tâm trên đồi thơ mộng.",https://cdn2.ivivu.com/2023/03/07/16/ivivu-city-hall-frankfurt-158x100.gif
Tour Châu Âu 9N8Đ: Đức - Séc - Áo - Thụy Sỹ - Ý,59.900.000VND,16-04-2025,"- Frankfurt: Đắm chìm trong không gian tài chính sôi động bậc nhất châu Âu. - Hồ Como & Bellagio: Tận hưởng vẻ đẹp thơ mộng của viên ngọc quý nước Ý. - Milan & San Siro: Trải nghiệm kinh đô thời trang và bầu không khí cuồng nhiệt bóng đá. - Lucerne & Grindelwald: Thưởng ngoạn cảnh sắc hùng vĩ Thụy Sĩ, check-in “Hạ cánh nơi Anh”. - Hallstatt & Salzburg: Lạc vào “xứ sở thần tiên” nước Áo, nơi vẻ đẹp cổ kính hòa cùng âm nhạc Mozart.",https://cdn2.ivivu.com/2024/03/27/11/dong-euro-ivv-158x100.gif
Tour Bắc Âu 11N10Đ: HCM - Đan Mạch - Na Uy - Thụy Điển - Estonia - Phần Lan,85.499.000VND,24-04-2025,"- Du thuyền Nyhavn: Khám phá kênh đào nổi tiếng, chiêm ngưỡng tượng Nàng Tiên Cá. - Xông hơi Löyly: Trải nghiệm văn hóa xông hơi truyền thống bên bờ biển Baltic. - Phố cổ Tallinn: Đi dạo trên những con đường lát đá cuội, chiêm ngưỡng kiến trúc Trung Cổ. - Công viên Vigeland: Thưởng thức các bức tượng nghệ thuật độc đáo. - Bảo tàng Vasa: Chiêm ngưỡng con tàu Vasa thế kỷ 17 được bảo tồn hoàn hảo.",https://cdn2.ivivu.com/2023/04/28/11/ivivu-bac-au-bia-158x100.jpg
Tour Siêu Du Thuyền Genting Dream 4N3Đ: Singapore - Malaysia - Singapore,Liên hệ,Không có ngày,"- Khám phá Kuala Lumpur: Tham quan Tháp Đôi Petronas, Quảng trường Merdeka và phố Tàu nhộn nhịp. - Thưởng thức ẩm thực đa dạng: Thưởng thức món ngon từ Á đến Âu tại các nhà hàng cao cấp. - Hoạt động giải trí độc đáo: Trải nghiệm zipline, công viên nước, leo núi nhân tạo và bowling. - Show diễn quốc tế: Thưởng thức các buổi biểu diễn nghệ thuật tại nhà hát Zodiac Theatre. - Thư giãn sang trọng: Tận hưởng spa, hồ bơi và quầy bar cao cấp trên du thuyền.",https://cdn2.ivivu.com/2017/05/10/17/ivivu-cong-vien-su-tu-bien-merlion-park--158x100.jpg
Tour Singapore - Malaysia 4N3Đ: HCM - Sentosa - Cao Nguyên Genting - Tháp Đôi Petronas - Kuala Lumpur,8.490.000VND,06-03-2025,"- Malacca cổ kính: Tìm hiểu lịch sử và kiến trúc Bồ Đào Nha, Hà Lan. - Tháp Đôi Petronas: Chiêm ngưỡng biểu tượng hiện đại của Kuala Lumpur. - Động Batu: Chinh phục 272 bậc thang dẫn lên ngôi đền Hindu linh thiêng. - Đảo Sentosa: Tham gia các hoạt động giải trí tại khu nghỉ dưỡng hàng đầu của Singapore. - Cao nguyên Genting: Khám phá khu nghỉ dưỡng trên núi với sòng bạc và công viên giải trí.",https://cdn2.ivivu.com/2017/05/10/17/ivivu-cong-vien-su-tu-bien-merlion-park--158x100.jpg
Trải Nghiệm Siêu Du Thuyền Genting Dream 4N3Đ: Singapore - Phuket - Singapore,11.190.000VND,04-03-2025,"- Thưởng thức ẩm thực đa dạng: Tận hưởng các món ăn châu Á và quốc tế trên tàu. - Hoạt động giải trí phong phú: Tham gia công viên nước, rạp chiếu phim, và các buổi biểu diễn nghệ thuật. - Khám phá Phuket: Tham quan bãi biển Patong và các điểm du lịch nổi tiếng tại Phuket. - Mua sắm và giải trí trên tàu: Trải nghiệm cửa hàng miễn thuế và sòng bạc. - Thư giãn tại các tiện ích cao cấp: Tận hưởng hồ bơi, phòng gym và dịch vụ spa.",https://cdn2.ivivu.com/2023/04/11/10/ivivu-interior2-158x100.gif
Tour Singapore 3N2Đ: Khám Phá Đảo Quốc Sư Tử - Gardens By The Bay - Chùa Răng Phật,10.990.000VND,28-02-2025,"- Tham quan Gardens by the Bay: Khám phá khu vườn hiện đại với các siêu cây khổng lồ và khu vườn hoa đa dạng. - Tham quan Chùa Răng Phật: Chiêm ngưỡng kiến trúc độc đáo và tìm hiểu về văn hóa Phật giáo tại ngôi chùa nổi tiếng này. - Tham quan Công viên Sư Tử Biển (Merlion Park): Chụp ảnh cùng biểu tượng sư tử biển, biểu tượng của Singapore. - Tham quan Marina Bay Sands: Chiêm ngưỡng kiến trúc độc đáo và tầm nhìn toàn cảnh thành phố từ khu phức hợp nổi tiếng này. - Tham quan Đảo Sentosa: Tham gia các hoạt động giải trí và thư giãn tại khu nghỉ dưỡng nổi tiếng của Singapore.",https://cdn2.ivivu.com/2017/06/01/16/ivivu-merlion-park-158x100.jpg
Tour Singapore - Malaysia 5N4Đ: Một Hành Trình Kết Nối 2 Quốc Gia Bay VNA,12.990.000VND,07-03-2025,"- Khám phá Công viên Sư Tử Biển: Chiêm ngưỡng biểu tượng đặc trưng của Singapore bên vịnh Marina. - Tham quan Gardens by the Bay: Thưởng thức khung cảnh độc đáo với các siêu cây khổng lồ và công viên xanh giữa lòng đô thị. - Chinh phục Động Batu: Leo 272 bậc thang lên Động Batu linh thiêng, điểm đến nổi tiếng của Malaysia. - Chiêm ngưỡng Tháp Đôi Petronas: Tham quan biểu tượng của Malaysia với tầm nhìn toàn cảnh Kuala Lumpur. - Mua sắm sầm uất tại Kuala Lumpur: Thỏa sức mua sắm và trải nghiệm ẩm thực tại các trung tâm thương mại lớn.",https://cdn2.ivivu.com/2023/11/10/10/ivivu-toa-nha-quoc-hoi-singapore-158x100.jpg
Tour Malaysia - Singapore 5N4Đ: Động Batu - Cao Nguyên Genting - Đảo Sentossa,11.190.000VND,05-03-2025,"- Khám phá Động Batu: Chinh phục 272 bậc thang dẫn đến ngôi đền Hindu linh thiêng trong hang động đá vôi hùng vĩ. - Tham quan Cao nguyên Genting: Trải nghiệm khu nghỉ dưỡng trên núi với sòng bạc, công viên giải trí và khí hậu mát mẻ quanh năm. - Khám phá Đảo Sentosa: Tham gia các hoạt động giải trí và thư giãn tại khu nghỉ dưỡng nổi tiếng của Singapore. - Tham quan Gardens by the Bay: Chiêm ngưỡng khu vườn hiện đại với các siêu cây khổng lồ và khu vườn hoa đa dạng. - Khám phá Công viên Sư Tử Biển: Chụp ảnh cùng biểu tượng sư tử biển, biểu tượng của Singapore. ",https://cdn2.ivivu.com/2023/11/09/09/ivivu-quang-truong-doc-lap-mardeca-malaysia-ce-158x100.jpg
Tour Singapore - Malaysia 5N4Đ: HCM - Garden By The Bay - Sentosa - Malaca - Putrajaya,11.190.000VND,28-02-2025,"- Thỏa sức vui chơi tại Sentosa, thiên đường giải trí hàng đầu. - Khám phá Malacca cổ kính, di sản văn hóa thế giới đầy mê hoặc. - Check-in Putrajaya, thành phố xanh hiện đại với kiến trúc ấn tượng. - Thưởng thức hương vị ẩm thực đặc sắc, hòa quyện phong cách Á - Âu. - Chiêm ngưỡng siêu cây tại Garden by the Bay, biểu tượng độc đáo của Singapore.",https://cdn2.ivivu.com/2017/06/01/16/ivivu-merlion-park-158x100.jpg
Tour Singapore - Malaysia 5N4Đ: Khám Phá Gardens By The Bay - Động Batu - Chùa Thiên Hậu,10.990.000VND,05-03-2025,- Chinh phục Động Batu kỳ vĩ với tượng thần Murugan khổng lồ. - Tham quan Chùa Thiên Hậu thanh tịnh giữa lòng Kuala Lumpur. - Khám phá Gardens by the Bay với siêu cây và các khu vườn tuyệt đẹp. - Trải nghiệm cao nguyên Genting qua cáp treo và khám phá khu giải trí sôi động. - Khám phá và mua sắm thả ga tại các trung tâm thương mại nổi tiếng của Singapore và Malaysia.,https://cdn2.ivivu.com/2018/08/16/10/ivivu-cong-vien-merlion-158x100.jpg
Tour Singapore 3N2Đ: Khám Phá Quốc Đảo Sư Tử - Hồ Nhân Tạo Marina Barrage,10.990.000VND,28-02-2025,"- Marina Barrage: Tận hưởng tầm nhìn tuyệt đẹp ôm trọn vịnh Marina. - Phố nghệ thuật Haji Lane: Khám phá con phố đầy màu sắc và không khí sôi động. - Gardens by the Bay: Chiêm ngưỡng siêu cây khổng lồ, biểu tượng xanh của Singapore. - Chùa Răng Phật: Viếng ngôi chùa linh thiêng với kiến trúc uy nghi, biểu tượng văn hóa. - Công viên Sư Tử Biểu Tượng: Chiêm ngưỡng tượng Merlion nổi tiếng, biểu tượng độc đáo của Singapore.",https://cdn2.ivivu.com/2022/03/28/17/ivivu-jewel-changi-158x100.gif
Tour Liên Tuyến Ba Nước 6N5Đ: Singapore - Indonesia - Malaysia,13.290.000VND,01-03-2025,"- Tham quan Gardens by the Bay với các siêu cây khổng lồ và khu vườn hoa đa dạng. - Khám phá đảo Batam (Indonesia), trải nghiệm văn hóa địa phương và thưởng thức ẩm thực đặc sắc. - Chinh phục Động Batu (Malaysia) với 272 bậc thang dẫn đến ngôi đền Hindu linh thiêng. - Tham quan Cao nguyên Genting, khu nghỉ dưỡng trên núi với sòng bạc và công viên giải trí. - Chiêm ngưỡng Tháp Đôi Petronas, biểu tượng của Kuala Lumpur, Malaysia.",https://cdn2.ivivu.com/2017/05/10/17/ivivu-cong-vien-su-tu-bien-merlion-park--158x100.jpg
Trải Nghiệm Siêu Du Thuyền Anthem Of The Seas 4N3Đ: Singapore - Malaysia,12.790.000VND,04-03-2025,"Khám phá du lịch Singapore và Malaysia trong 4 ngày 3 đêm cùng siêu du thuyền Anthem of the Seas của hãng Royal Caribbean. Trải nghiệm các hoạt động giải trí đẳng cấp trên du thuyền với các show diễn quốc tế, nhà hàng sang trọng, spa và nhiều tiện ích khác. Đắm chìm trong không gian sang trọng và tham quan những điểm đến hấp dẫn tại Singapore và Malaysia. Thưởng thức ẩm thực quốc tế và thư giãn trong chuyến đi đầy ấn tượng. Cùng iVIVU khám phá ngay hôm nay!",https://cdn2.ivivu.com/2023/08/14/16/ivivu-anthem-158x100.gif
Trải Nghiệm Siêu Du Thuyền Disney Adventure 4N3Đ: Singapore - Singapore,23.990.000VND,05-01-2026,"Khám phá hành trình đặc sắc 4 ngày 3 đêm cùng siêu du thuyền Disney Adventure 5 sao. Bước vào thế giới kỳ diệu Disney, thưởng thức không gian sang trọng đậm chất cổ tích, gặp gỡ các nhân vật Disney yêu thích và chiêm ngưỡng hoàng hôn tuyệt đẹp bên những biểu tượng nổi tiếng như Marina Bay Sands và Gardens by the Bay. Một trải nghiệm hoàn hảo cho gia đình và những ai yêu thích sự kỳ diệu của các bộ phim tuổi thơ Disney.",https://cdn2.ivivu.com/2025/01/03/14/2025-01-03-12-21-32-158x100.png
Trải Nghiệm Siêu Du Thuyền Genting Dream 3N2Đ: Singapore - Melaka - Singapore,6.890.000VND,09-03-2025,"- Khám phá Singapore hiện đại: Tham quan các biểu tượng nổi tiếng như Gardens by the Bay và Marina Bay Sands. - Trải nghiệm đẳng cấp trên du thuyền: Tận hưởng tiện ích 5 sao, nhà hàng sang trọng, bể bơi vô cực và các hoạt động giải trí độc đáo. - Thăm phố cổ Melaka: Dạo bước trong không gian văn hóa, lịch sử độc đáo tại di sản thế giới UNESCO. - Thưởng thức ẩm thực đặc sắc: Trải nghiệm tinh hoa ẩm thực quốc tế và địa phương trên du thuyền và đất liền. - Thư giãn giữa biển khơi: Hòa mình vào không gian yên bình của đại dương, tận hưởng dịch vụ spa và các hoạt động thư giãn.",https://cdn2.ivivu.com/2023/04/11/10/ivivu-interior2-158x100.gif
Trải Nghiệm Du Thuyền Genting Dream 3N2Đ: Singapore - Singapore,8.690.000VND,28-02-2025,"Trải nghiệm hành trình 3 ngày 2 đêm với siêu du thuyền Genting Dream, khởi hành từ Singapore. Tận hưởng các tiện ích và dịch vụ đẳng cấp trên du thuyền, tham gia các hoạt động giải trí và thưởng thức ẩm thực đa dạng. Khám phá vẻ đẹp hiện đại của Singapore với các điểm đến nổi bật như Marina Bay Sands, Gardens by the Bay và khu phố Orchard. Tour lý tưởng cho du khách muốn trải nghiệm du thuyền sang trọng và khám phá những điểm đến hấp dẫn của Singapore trong một chuyến đi ngắn ngày. Cùng iVIVU khám phá ngay hôm nay!",https://cdn2.ivivu.com/2023/04/11/10/ivivu-interior2-158x100.gif
Trải Nghiệm Siêu Du Thuyền Disney Adventure 5N4Đ: Singapore - Singapore,31.490.000VND,18-12-2025,"Khám phá hành trình đặc sắc 5 ngày 4 đêm cùng siêu du thuyền Disney Adventure 5 sao. Bước vào thế giới kỳ diệu Disney, thưởng thức không gian sang trọng đậm chất cổ tích, gặp gỡ các nhân vật Disney yêu thích và chiêm ngưỡng hoàng hôn tuyệt đẹp bên những biểu tượng nổi tiếng như Marina Bay Sands và Gardens by the Bay. Một trải nghiệm hoàn hảo cho gia đình và những ai yêu thích sự kỳ diệu của các bộ phim tuổi thơ Disney.",https://cdn2.ivivu.com/2025/01/03/14/2025-01-03-12-21-32-158x100.png
Trải Nghiệm Siêu Du Thuyền Genting Dream 4N3Đ: Melaka - Singapore - Penang - Kuala Lumpur,16.390.000VND,10-03-2025,"- Thưởng thức ẩm thực đa dạng: Thưởng thức ẩm thực châu Á và quốc tế với 35 nhà hàng và quầy bar trên tàu. - Hoạt động giải trí phong phú: Tham gia các trò chơi tại công viên nước, sân golf mini và khu leo núi. - Thư giãn tại spa và hồ bơi: Tận hưởng các liệu pháp spa chuyên nghiệp và thư giãn bên hồ bơi. - Khám phá Melaka: Tham quan thành phố di sản với kiến trúc và văn hóa độc đáo. - Thưởng thức biểu diễn nghệ thuật: Thưởng thức các buổi nhạc sống và xiếc đặc sắc ngay trên tàu.",https://cdn2.ivivu.com/2023/04/11/10/ivivu-interior2-158x100.gif
